Ciudad,Día,T. max. (°C) (Hora),T. min. (°C) (Hora),T. media (°C),Racha (km/h) (Hora),V. max. (km/h) (Hora),Pr. 00 - 24h (mm),Pr. 00 - 06h (mm),Pr. 06 - 12h (mm),Pr. 12 - 18h (mm),Pr. 18 - 24h (mm)
Madrid,02/01/2026,9.8(14:30),4.1(00:00),7.0,15(11:00),12(11:20),0.00.0,0.0,0.0,0.0,0.0
Madrid,01/01/2026,4.9(17:30),-2.7(07:10),1.1,18(13:30),12(13:40),0.0,0.0,0.0,0.0,0.0
Madrid,31/12/2025,10.0(16:30),-2.5(08:30),3.8,18(14:10),10(15:40),0.0,0.0,0.0,0.0,0.0
Madrid,30/12/2025,10.6(15:20),-1.4(08:00),4.6,18(12:10),12(16:40),0.0,0.0,0.0,0.0,0.0
Madrid,29/12/2025,12.8(14:40),2.4(23:59),7.6,17(10:30),10(01:10),0.0,0.0,0.0,0.0,0.0
Madrid,28/12/2025,12.1(15:50),6.5(03:10),9.3,28(17:10),15(17:10),0.0,0.0,0.0,0.0,0.0
Madrid,27/12/2025,11.1(16:40),-0.7(07:50),5.2,22(15:50),15(15:40),0.1,0.0,0.0,0.0,0.1
Madrid,26/12/2025,11.5(16:40),-1.2(06:40),5.1,17(15:40),9(15:40),0.0,0.0,0.0,0.0,0.0
Barcelona,02/01/2026,12.7(15:20),4.2(07:20),8.4,37(07:10),27(10:20),0.00.0,0.0,0.0,0.0,0.0
Barcelona,01/01/2026,13.3(14:10),2.6(08:10),8.0,33(14:10),24(15:30),0.0,0.0,0.0,0.0,0.0
Barcelona,31/12/2025,13.1(15:00),6.9(00:50),10.0,35(10:10),24(09:30),0.0,0.0,0.0,0.0,0.0
Barcelona,30/12/2025,13.2(13:50),7.7(23:59),10.4,42(16:20),34(16:30),0.0,0.0,0.0,0.0,0.0
Barcelona,29/12/2025,12.8(12:00),8.9(23:59),10.8,50(09:40),17(08:10),0.6,0.0,0.0,0.6,0.0
Barcelona,28/12/2025,15.1(13:30),9.5(07:30),12.3,39(08:30),25(00:10),0.0,0.0,0.0,0.0,0.0
Barcelona,27/12/2025,,,,,,,,12.5,16.2,1.5
Barcelona,26/12/2025,14.3(15:30),10.1(00:00),12.2,63(07:30),49(07:40),21.0,4.4,6.5,6.3,3.8
Mallorca,02/01/2026,16.1(12:40),3.8(03:50),10.0,32(11:30),26(11:50),0.00.0,0.0,0.0,0.0,0.0
Mallorca,01/01/2026,14.1(15:10),0.7(08:00),7.4,18(14:50),12(13:50),0.0,0.0,0.0,0.0,0.0
Mallorca,31/12/2025,13.6(12:20),2.8(04:10),8.2,35(14:50),25(12:50),0.0,0.0,0.0,0.0,0.0
Mallorca,30/12/2025,15.8(12:20),2.9(06:50),9.4,30(12:40),17(12:50),0.0,0.0,0.0,0.0,0.0
Mallorca,29/12/2025,16.1(12:50),5.7(23:30),10.9,24(13:50),14(13:50),1.0,0.0,0.1,0.9,0.0
Mallorca,28/12/2025,16.9(15:00),6.8(07:40),11.8,28(14:50),22(15:00),0.1,0.0,0.1,0.0,0.0
Mallorca,27/12/2025,13.5(13:30),8.3(22:00),10.9,28(13:50),17(13:50),10.5,0.1,0.1,8.7,1.6
Mallorca,26/12/2025,14.0(13:40),8.7(08:30),11.3,21(00:20),15(00:10),10.0,2.6,1.8,5.4,0.2
Málaga,02/01/2026,15.4(16:00),9.7(09:20),12.6,21(08:30),14(08:40),0.00.0,0.0,0.0,0.0,0.0
Málaga,01/01/2026,14.9(15:40),11.1(06:50),13.0,32(12:20),19(08:40),3.7,0.6,3.1,0.0,0.0
Málaga,31/12/2025,17.2(14:50),5.4(08:40),11.3,28(07:50),22(07:50),0.0,0.0,0.0,0.0,0.0
Málaga,30/12/2025,18.4(16:20),6.3(08:10),12.3,26(06:50),19(06:50),0.0,0.0,0.0,0.0,0.0
Málaga,29/12/2025,17.4(15:00),7.0(08:00),12.2,28(01:40),21(00:20),0.2,0.0,0.0,0.2,0.0
Málaga,28/12/2025,14.8(14:10),7.9(23:30),11.4,50(00:10),35(00:10),14.7,10.0,4.7,0.0,0.0
