Ciudad,Día,T. max. (°C) (Hora),T. min. (°C) (Hora),T. media (°C),Racha (km/h) (Hora),V. max. (km/h) (Hora),Pr. 00 - 24h (mm),Pr. 00 - 06h (mm),Pr. 06 - 12h (mm),Pr. 12 - 18h (mm),Pr. 18 - 24h (mm)
Alicante,2025-12-26,16.5,8.8,12.7,41.0,29.0,0.8,0.8,0.0,0.0,0.0
Alicante,2025-12-27,15.4,6.9,11.1,28.0,21.0,0.0,0.0,0.0,0.0,0.0
Alicante,2025-12-28,16.7,11.0,13.9,42.0,33.0,0.1,0.0,0.1,0.0,0.0
Alicante,2025-12-29,16.7,7.8,12.3,28.0,18.0,10.1,0.0,0.0,10.1,0.0
Alicante,2025-12-30,17.5,6.8,12.2,45.0,31.0,0.0,0.0,0.0,0.0,0.0
Alicante,2025-12-31,16.4,7.9,12.1,33.0,25.0,0.0,0.0,0.0,0.0,0.0
Alicante,2026-01-01,15.3,7.9,11.6,17.0,11.0,0.0,0.0,0.0,0.0,0.0
Alicante,2026-01-02,14.4,6.8,10.6,26.0,17.0,9.89,0.0,0.0,0.0,0.0
Barcelona,2025-12-26,14.3,10.1,12.2,63.0,49.0,21.0,4.4,6.5,6.3,3.8
Barcelona,2025-12-27,14.7,9.8,12.25,51.0,37.0,0.0,0.0,12.5,16.2,1.5
Barcelona,2025-12-28,15.1,9.5,12.3,39.0,25.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2025-12-29,12.8,8.9,10.8,50.0,17.0,0.6,0.0,0.0,0.6,0.0
Barcelona,2025-12-30,13.2,7.7,10.4,42.0,34.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2025-12-31,13.1,6.9,10.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2026-01-01,13.3,2.6,8.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2026-01-02,12.7,4.2,8.4,37.0,27.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-26,22.5,14.3,18.4,52.0,33.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-27,22.1,14.0,18.1,30.0,21.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-28,21.0,14.7,17.8,24.0,14.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-29,20.6,14.8,17.7,21.0,13.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-30,20.9,14.4,17.6,26.0,19.0,0.0,0.0,0.0,0.0,0.0
Canaria,2025-12-31,21.2,14.4,17.8,48.0,32.0,0.0,0.0,0.0,0.0,0.0
Canaria,2026-01-01,24.3,15.7,20.0,68.0,49.0,0.1,0.0,0.0,0.1,0.0
Canaria,2026-01-02,22.8,17.2,20.0,61.0,44.0,0.0,0.0,0.0,0.0,0.0
Ibiza,2025-12-26,15.3,7.4,11.4,26.0,16.0,2.6,2.1,0.0,0.0,0.5
Ibiza,2025-12-27,15.9,5.9,10.9,15.0,12.0,0.6,0.6,0.0,0.0,0.0
Ibiza,2025-12-28,16.4,7.7,12.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0
Ibiza,2025-12-29,14.3,6.8,10.6,45.0,32.0,5.4,0.0,4.5,0.9,0.0
Ibiza,2025-12-30,15.8,6.5,11.2,28.0,18.0,0.1,0.1,0.0,0.0,0.0
