FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,ID_VUELO,HORA_PROGRAMADA,RETRASO_MIN,ORIGEN
01/01/2026,1,LEMD,SPJC,Iberia,IB123,00:10,21,Madrid
01/01/2026,0,LEMD,SPJC,LATAM Airlines Chile,LA2485,00:40,15,Madrid
01/01/2026,1,LEMD,KDFW,Iberia,IB363,00:55,24,Madrid
01/01/2026,1,LEMD,SKBO,Avianca,AV47,01:20,22,Madrid
01/01/2026,0,LEMD,SEQM,Air Europa,UX137,01:45,14,Madrid
01/01/2026,1,LEMD,EGSS,Ryanair,FR348,05:45,38,Madrid
01/01/2026,1,LEMD,LIPX,Ryanair,FR8992,05:45,36,Madrid
01/01/2026,1,LEMD,EBBR,Ryanair,FR2948,05:50,45,Madrid
01/01/2026,2,LEMD,LMML,Ryanair,FR5382,05:50,46,Madrid
01/01/2026,1,LEMD,LIRF,Alitalia,AZ59,05:50,29,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1401,06:00,37,Madrid
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,KL1500,06:00,31,Madrid
01/01/2026,1,LEMD,EBCI,Ryanair,FR5462,06:10,44,Madrid
01/01/2026,1,LEMD,GCRR,Ryanair,FR2015,06:10,36,Madrid
01/01/2026,0,LEMD,LTFM,Turkish Airlines,TK1360,06:20,13,Madrid
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,ET740,06:25,18,Madrid
01/01/2026,1,LEMD,EBBR,Brussels Airlines,SN3732,06:25,31,Madrid
01/01/2026,1,LEMD,LPPT,Air Europa,UX1159,06:30,23,Madrid
01/01/2026,2,LEMD,SKBO,Avianca,AV27,06:35,74,Madrid
01/01/2026,1,LEMD,LPPR,Air Europa,UX1147,06:35,28,Madrid
01/01/2026,1,LEMD,EGLL,Iberia,IB711,06:45,22,Madrid
01/01/2026,2,LEMD,LFPO,Transavia France,TO4781,06:45,50,Madrid
01/01/2026,1,LEMD,LIPZ,Air Europa,UX1081,06:55,27,Madrid
01/01/2026,1,LEMD,LIPX,Ryanair,FR8992,05:45,36,Madrid
01/01/2026,1,LEMD,EGSS,Ryanair,FR348,05:45,38,Madrid
01/01/2026,2,LEMD,LMML,Ryanair,FR5382,05:50,46,Madrid
01/01/2026,1,LEMD,LIRF,Alitalia,AZ59,05:50,29,Madrid
01/01/2026,1,LEMD,EBBR,Ryanair,FR2948,05:50,45,Madrid
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,KL1500,06:00,31,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1401,06:00,37,Madrid
01/01/2026,1,LEMD,EBCI,Ryanair,FR5462,06:10,44,Madrid
01/01/2026,1,LEMD,GCRR,Ryanair,FR2015,06:10,36,Madrid
01/01/2026,0,LEMD,LTFM,Turkish Airlines,TK1360,06:20,13,Madrid
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,ET740,06:25,18,Madrid
01/01/2026,1,LEMD,EBBR,Brussels Airlines,SN3732,06:25,31,Madrid
01/01/2026,1,LEMD,LPPT,Air Europa,UX1159,06:30,23,Madrid
01/01/2026,1,LEMD,LPPR,Air Europa,UX1147,06:35,28,Madrid
01/01/2026,2,LEMD,SKBO,Avianca,AV27,06:35,74,Madrid
01/01/2026,2,LEMD,LFPO,Transavia France,TO4781,06:45,50,Madrid
01/01/2026,1,LEMD,EGLL,Iberia,IB711,06:45,22,Madrid
01/01/2026,1,LEMD,LIPZ,Air Europa,UX1081,06:55,27,Madrid
01/01/2026,1,LEMD,GCXO,Binter Canarias,NT6073,07:00,28,Madrid
01/01/2026,1,LEMD,GCLP,Binter Canarias,NT6017,07:00,22,Madrid
01/01/2026,0,LEMD,EHAM,Air Europa,UX1091,07:05,18,Madrid
01/01/2026,1,LEMD,GCLP,Air Europa,UX9156,07:05,20,Madrid
01/01/2026,1,LEMD,LEVC,Air Europa,UX4063,07:05,42,Madrid
01/01/2026,0,LEMD,LEBL,Iberia,IB403,07:05,10,Madrid
01/01/2026,1,LEMD,EDDF,Air Europa,UX1503,07:05,25,Madrid
01/01/2026,1,LEMD,LIPX,Ryanair,FR8992,05:45,36,Madrid
01/01/2026,1,LEMD,EGSS,Ryanair,FR348,05:45,38,Madrid
01/01/2026,1,LEMD,EBBR,Ryanair,FR2948,05:50,45,Madrid
01/01/2026,2,LEMD,LMML,Ryanair,FR5382,05:50,46,Madrid
01/01/2026,1,LEMD,LIRF,Alitalia,AZ59,05:50,29,Madrid
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,KL1500,06:00,31,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1401,06:00,37,Madrid
01/01/2026,1,LEMD,EBCI,Ryanair,FR5462,06:10,44,Madrid
01/01/2026,1,LEMD,GCRR,Ryanair,FR2015,06:10,36,Madrid
01/01/2026,0,LEMD,LTFM,Turkish Airlines,TK1360,06:20,13,Madrid
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,ET740,06:25,18,Madrid
01/01/2026,1,LEMD,EBBR,Brussels Airlines,SN3732,06:25,31,Madrid
01/01/2026,1,LEMD,LPPT,Air Europa,UX1159,06:30,23,Madrid
01/01/2026,1,LEMD,LPPR,Air Europa,UX1147,06:35,28,Madrid
01/01/2026,2,LEMD,SKBO,Avianca,AV27,06:35,74,Madrid
01/01/2026,1,LEMD,EGLL,Iberia,IB711,06:45,22,Madrid
01/01/2026,2,LEMD,LFPO,Transavia France,TO4781,06:45,50,Madrid
01/01/2026,1,LEMD,LIPZ,Air Europa,UX1081,06:55,27,Madrid
01/01/2026,1,LEMD,GCLP,Binter Canarias,NT6017,07:00,22,Madrid
01/01/2026,1,LEMD,GCXO,Binter Canarias,NT6073,07:00,28,Madrid
01/01/2026,0,LEMD,GCXO,Air Europa,UX9059,07:05,16,Madrid
01/01/2026,1,LEMD,EDDM,Air Europa,UX1515,07:05,23,Madrid
01/01/2026,1,LEMD,EDDF,Air Europa,UX1503,07:05,25,Madrid
